Address,Result
"123 Harvard Avenue, Boston, MA 02134","Based on your location and student information, these schools are available:

1. Baldwin Early Learning Pilot Academy
   Address: 121 Corey Rd Brighton, MA 02135

2. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

3. Edison Elementary School
   Address: 60 Glenmont Rd Brighton, MA 02135

4. Gardner Pilot Academy
   Address: 30 Athol St Allston, MA 02134

5. Hennigan Elementary School
   Address: 200 Heath St Jamaica Plain, MA 02130

6. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

7. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118

8. John F Kennedy Elementary School
   Address: 7 Bolster St Jamaica Plain, MA 02130

9. Lyon Elementary School
   Address: 50 Beechcroft St Brighton, MA 02135

10. Mario Umana Academy
   Address: 312 Border St East Boston, MA 02128


There are 14 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
"500 Boylston Street, Boston, MA 02116","Based on your location and student information, these schools are available:

1. Blackstone Elementary School
   Address: 380 Shawmut Ave South End, MA 02118

2. Condon K-8 School
   Address: 200 D St South Boston, MA 02127

3. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

4. East Boston Early Education Center
   Address: 135 Gove St East Boston, MA 02128

5. Edison Elementary School
   Address: 60 Glenmont Rd Brighton, MA 02135

6. Eliot K-8 Innovation School
   Address: 16 Charter St North End, MA 02113

7. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

8. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118

9. Mario Umana Academy
   Address: 312 Border St East Boston, MA 02128

10. Mason Elementary School
   Address: 150 Norfolk Ave Roxbury, MA 02119


There are 15 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
"15 Fayette Street, Boston, MA 02116","Based on your location and student information, these schools are available:

1. Blackstone Elementary School
   Address: 380 Shawmut Ave South End, MA 02118

2. Condon K-8 School
   Address: 200 D St South Boston, MA 02127

3. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

4. East Boston Early Education Center
   Address: 135 Gove St East Boston, MA 02128

5. Edison Elementary School
   Address: 60 Glenmont Rd Brighton, MA 02135

6. Eliot K-8 Innovation School
   Address: 16 Charter St North End, MA 02113

7. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

8. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118

9. Mario Umana Academy
   Address: 312 Border St East Boston, MA 02128

10. Mason Elementary School
   Address: 150 Norfolk Ave Roxbury, MA 02119


There are 16 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
"21 Charles Street, Boston, MA 02114","I apologize, but I encountered an error searching for schools: API request failed with status code 400: {""message"":""Could not find google place ID for address""}"
"370 Washington Street, Boston, MA 02135","I apologize, but I encountered an error searching for schools: API request failed with status code 400: {""message"":""Could not find google place ID for address""}"
"1 Monument Square, Boston, MA 02129","I apologize, but I encountered an error searching for schools: API request failed with status code 500: {""message"":""HTTP error! status: 500""}"
"66 Harrison Avenue, Boston, MA 02111","Based on your location and student information, these schools are available:

1. Blackstone Elementary School
   Address: 380 Shawmut Ave South End, MA 02118

2. Condon K-8 School
   Address: 200 D St South Boston, MA 02127

3. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

4. East Boston Early Education Center
   Address: 135 Gove St East Boston, MA 02128

5. Edison Elementary School
   Address: 60 Glenmont Rd Brighton, MA 02135

6. Eliot K-8 Innovation School
   Address: 16 Charter St North End, MA 02113

7. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

8. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118

9. Mario Umana Academy
   Address: 312 Border St East Boston, MA 02128

10. Perkins Elementary School
   Address: 50 Rev Burke St South Boston, MA 02127


There are 14 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
"1450 Dorchester Avenue, Boston, MA 02122","Based on your location and student information, these schools are available:

1. Dever Elementary School
   Address: 325 Mt Vernon St Dorchester, MA 02125

2. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

3. Everett Elementary School
   Address: 71 Pleasant St Dorchester, MA 02125

4. Haynes Early Education Center
   Address: 263 Blue Hill Ave Roxbury, MA 02119

5. Henderson K-12 Inclusion School (Lower)
   Address: 1669 Dorchester Ave Dorchester, MA 02122

6. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

7. Holmes Elementary School
   Address: 40 School St Dorchester, MA 02124

8. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118

9. Kenny Elementary School
   Address: 19 Oakton Ave Dorchester, MA 02122

10. King Elementary School
   Address: 77 Lawrence Ave Dorchester, MA 02121


There are 22 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
"1 Washington Mall, Boston, MA 02108","I apologize, but I encountered an error searching for schools: API request failed with status code 500: {""message"":""HTTP error! status: 500""}"
"946 Bennington Street, Boston, MA 02128","Based on your location and student information, these schools are available:

1. Adams Elementary School
   Address: 165 Webster St East Boston, MA 02128

2. Bradley Elementary School
   Address: 110 Beachview Rd East Boston, MA 02128

3. Condon K-8 School
   Address: 200 D St South Boston, MA 02127

4. Dante Alighieri Montessori School
   Address: 37 Gove St East Boston, MA 02128

5. Dudley Street Neighborhood Charter School
   Address: 6 Shirley St Roxbury, MA 02119

6. East Boston Early Education Center
   Address: 135 Gove St East Boston, MA 02128

7. Guild Elementary School
   Address: 195 Leyden St East Boston, MA 02128

8. Harvard-Kent Elementary School
   Address: 50 Bunker Hill St Charlestown, MA 02129

9. Hernandez Elementary School
   Address: 61 School St Roxbury, MA 02119

10. Hurley K-8 School
   Address: 70 Worcester St South End, MA 02118


There are 18 eligible schools in total. For more details, please visit: https://boston.explore.avela.org/

You can ask me for more information about any specific school by name or number (e.g., 'Tell me more about #3')."
